ep     1 | eps 0.90 | return  -928.53 | HO   0.79 | HOF 186.08 | SE  0.94 | loss nan |     12s
ep  2075 | eps 0.10 | return  -728.24 | HO   1.89 | HOF 145.42 | SE  1.12 | loss 0.0298 |  19996s
ep  2100 | eps 0.10 | return  -725.29 | HO   1.92 | HOF 145.02 | SE  1.12 | loss 0.0300 |  20236s
ep  2125 | eps 0.10 | return  -725.68 | HO   1.92 | HOF 144.85 | SE  1.11 | loss 0.0299 |  20476s
ep  2150 | eps 0.10 | return  -723.69 | HO   1.90 | HOF 144.45 | SE  1.12 | loss 0.0290 |  20715s
ep  2175 | eps 0.10 | return  -722.68 | HO   1.95 | HOF 144.22 | SE  1.12 | loss 0.0294 |  20955s
ep  2200 | eps 0.10 | return  -723.20 | HO   1.89 | HOF 144.51 | SE  1.12 | loss 0.0296 |  21196s
ep  2225 | eps 0.10 | return  -720.74 | HO   1.92 | HOF 143.97 | SE  1.12 | loss 0.0296 |  21436s
ep  2250 | eps 0.10 | return  -731.38 | HO   1.88 | HOF 146.31 | SE  1.11 | loss 0.0293 |  21677s
ep  2275 | eps 0.10 | return  -725.76 | HO   1.99 | HOF 144.97 | SE  1.12 | loss 0.0296 |  21917s
ep  2300 | eps 0.10 | return  -726.65 | HO   2.01 | HOF 145.12 | SE  1.11 | loss 0.0305 |  22162s
ep  2325 | eps 0.10 | return  -730.53 | HO   1.98 | HOF 146.08 | SE  1.11 | loss 0.0310 |  22403s
ep  2350 | eps 0.10 | return  -721.73 | HO   1.96 | HOF 144.33 | SE  1.12 | loss 0.0300 |  22643s
ep  2375 | eps 0.10 | return  -721.50 | HO   2.03 | HOF 144.16 | SE  1.12 | loss 0.0309 |  22884s
ep  2400 | eps 0.10 | return  -722.50 | HO   1.99 | HOF 144.04 | SE  1.11 | loss 0.0307 |  23124s
ep  2425 | eps 0.10 | return  -725.68 | HO   2.02 | HOF 144.67 | SE  1.11 | loss 0.0307 |  23365s
ep  2450 | eps 0.10 | return  -734.97 | HO   1.96 | HOF 146.85 | SE  1.11 | loss 0.0301 |  23605s
ep  2475 | eps 0.10 | return  -726.35 | HO   1.97 | HOF 145.12 | SE  1.12 | loss 0.0307 |  23846s
ep  2500 | eps 0.10 | return  -730.19 | HO   1.97 | HOF 145.97 | SE  1.12 | loss 0.0293 |  24086s
ep  2525 | eps 0.10 | return  -715.41 | HO   2.05 | HOF 142.87 | SE  1.12 | loss 0.0302 |  24326s
ep  2550 | eps 0.10 | return  -728.80 | HO   2.00 | HOF 145.59 | SE  1.11 | loss 0.0300 |  24575s
ep  2575 | eps 0.10 | return  -723.78 | HO   1.99 | HOF 144.69 | SE  1.12 | loss 0.0299 |  24823s
ep  2600 | eps 0.10 | return  -724.42 | HO   1.94 | HOF 144.84 | SE  1.12 | loss 0.0309 |  25065s
ep  2625 | eps 0.10 | return  -723.69 | HO   2.00 | HOF 144.55 | SE  1.12 | loss 0.0314 |  25324s
ep  2650 | eps 0.10 | return  -728.25 | HO   1.97 | HOF 145.61 | SE  1.12 | loss 0.0309 |  25590s
ep  2675 | eps 0.10 | return  -727.22 | HO   1.94 | HOF 145.40 | SE  1.12 | loss 0.0320 |  25841s
ep  2700 | eps 0.10 | return  -725.42 | HO   1.96 | HOF 144.93 | SE  1.12 | loss 0.0318 |  26083s
ep  2725 | eps 0.10 | return  -728.64 | HO   2.01 | HOF 145.51 | SE  1.11 | loss 0.0324 |  26327s
ep  2750 | eps 0.10 | return  -724.12 | HO   1.97 | HOF 144.51 | SE  1.12 | loss 0.0318 |  26571s
ep  2775 | eps 0.10 | return  -723.04 | HO   2.01 | HOF 144.23 | SE  1.12 | loss 0.0322 |  26815s
ep  2800 | eps 0.10 | return  -717.90 | HO   2.05 | HOF 143.20 | SE  1.12 | loss 0.0330 |  27059s
ep  2825 | eps 0.10 | return  -729.36 | HO   2.00 | HOF 145.73 | SE  1.12 | loss 0.0326 |  27302s
ep  2850 | eps 0.10 | return  -726.93 | HO   1.95 | HOF 145.30 | SE  1.12 | loss 0.0327 |  27545s
ep  2875 | eps 0.10 | return  -723.96 | HO   1.96 | HOF 144.50 | SE  1.12 | loss 0.0334 |  27788s
ep  2900 | eps 0.10 | return  -725.55 | HO   2.00 | HOF 145.06 | SE  1.12 | loss 0.0332 |  28031s
ep  2925 | eps 0.10 | return  -725.15 | HO   1.97 | HOF 144.89 | SE  1.12 | loss 0.0331 |  28273s
ep  2950 | eps 0.10 | return  -724.61 | HO   1.89 | HOF 144.82 | SE  1.12 | loss 0.0345 |  28516s
ep  2975 | eps 0.10 | return  -726.43 | HO   1.95 | HOF 145.12 | SE  1.12 | loss 0.0337 |  28757s
ep  3000 | eps 0.10 | return  -723.76 | HO   1.94 | HOF 144.56 | SE  1.12 | loss 0.0347 |  28997s
