ep     1 | eps 0.90 | return  -109.93 | HO   2.35 | HOF 68.20 | SE  2.05 | loss nan |      3s
ep  1525 | eps 0.39 | return    34.34 | HO   3.55 | HOF 42.56 | SE  2.24 | loss 0.0334 |   4999s
ep  1550 | eps 0.38 | return    34.83 | HO   3.61 | HOF 42.25 | SE  2.24 | loss 0.0328 |   5078s
ep  1575 | eps 0.38 | return    40.00 | HO   3.62 | HOF 41.42 | SE  2.24 | loss 0.0321 |   5158s
ep  1600 | eps 0.37 | return    41.37 | HO   3.70 | HOF 41.01 | SE  2.25 | loss 0.0310 |   5238s
ep  1625 | eps 0.36 | return    46.30 | HO   3.68 | HOF 40.33 | SE  2.25 | loss 0.0303 |   5318s
ep  1650 | eps 0.35 | return    48.66 | HO   3.79 | HOF 39.83 | SE  2.26 | loss 0.0291 |   5397s
ep  1675 | eps 0.34 | return    53.60 | HO   3.70 | HOF 39.14 | SE  2.26 | loss 0.0286 |   5477s
ep  1700 | eps 0.33 | return    54.90 | HO   3.72 | HOF 38.72 | SE  2.27 | loss 0.0279 |   5557s
ep  1725 | eps 0.32 | return    59.63 | HO   3.71 | HOF 38.11 | SE  2.27 | loss 0.0273 |   5637s
ep  1750 | eps 0.32 | return    62.43 | HO   3.78 | HOF 37.48 | SE  2.28 | loss 0.0269 |   5717s
ep  1775 | eps 0.31 | return    64.90 | HO   3.82 | HOF 37.08 | SE  2.28 | loss 0.0264 |   5796s
ep  1800 | eps 0.30 | return    69.54 | HO   3.81 | HOF 36.27 | SE  2.28 | loss 0.0260 |   5876s
ep  1825 | eps 0.29 | return    72.66 | HO   3.86 | HOF 35.69 | SE  2.29 | loss 0.0252 |   5956s
ep  1850 | eps 0.28 | return    74.06 | HO   3.86 | HOF 35.26 | SE  2.29 | loss 0.0245 |   6036s
ep  1875 | eps 0.28 | return    79.48 | HO   3.87 | HOF 34.46 | SE  2.30 | loss 0.0241 |   6115s
ep  1900 | eps 0.27 | return    83.63 | HO   3.84 | HOF 33.78 | SE  2.30 | loss 0.0239 |   6195s
ep  1925 | eps 0.26 | return    84.97 | HO   3.86 | HOF 33.36 | SE  2.30 | loss 0.0234 |   6275s
ep  1950 | eps 0.25 | return    90.21 | HO   3.94 | HOF 32.55 | SE  2.31 | loss 0.0230 |   6355s
ep  1975 | eps 0.24 | return    94.05 | HO   3.94 | HOF 31.75 | SE  2.32 | loss 0.0227 |   6434s
ep  2000 | eps 0.23 | return    96.21 | HO   3.95 | HOF 31.42 | SE  2.32 | loss 0.0223 |   6515s
ep  2025 | eps 0.22 | return    98.18 | HO   3.92 | HOF 30.87 | SE  2.32 | loss 0.0219 |   6594s
ep  2050 | eps 0.22 | return   104.08 | HO   4.02 | HOF 29.85 | SE  2.33 | loss 0.0215 |   6674s
ep  2075 | eps 0.21 | return   107.66 | HO   4.00 | HOF 29.14 | SE  2.33 | loss 0.0212 |   6754s
ep  2100 | eps 0.20 | return   112.51 | HO   4.10 | HOF 28.30 | SE  2.34 | loss 0.0209 |   6833s
ep  2125 | eps 0.19 | return   114.94 | HO   4.02 | HOF 27.91 | SE  2.34 | loss 0.0204 |   6913s
ep  2150 | eps 0.18 | return   119.82 | HO   4.08 | HOF 26.97 | SE  2.35 | loss 0.0201 |   6992s
ep  2175 | eps 0.17 | return   123.99 | HO   4.13 | HOF 26.25 | SE  2.36 | loss 0.0194 |   7072s
ep  2200 | eps 0.17 | return   129.63 | HO   4.11 | HOF 25.36 | SE  2.36 | loss 0.0192 |   7152s
ep  2225 | eps 0.16 | return   133.42 | HO   4.15 | HOF 24.55 | SE  2.37 | loss 0.0187 |   7233s
ep  2250 | eps 0.15 | return   134.58 | HO   4.13 | HOF 24.09 | SE  2.37 | loss 0.0183 |   7312s
ep  2275 | eps 0.14 | return   141.87 | HO   4.19 | HOF 22.91 | SE  2.38 | loss 0.0180 |   7393s
