ep     1 | eps 0.90 | return  -109.93 | HO   2.35 | HOF 68.20 | SE  2.05 | loss nan |      3s
ep  1700 | eps 0.33 | return    56.01 | HO   3.74 | HOF 38.81 | SE  2.27 | loss 0.0282 |   5117s
ep  1725 | eps 0.32 | return    59.27 | HO   3.81 | HOF 38.22 | SE  2.27 | loss 0.0282 |   5192s
ep  1750 | eps 0.32 | return    64.99 | HO   3.90 | HOF 37.19 | SE  2.28 | loss 0.0273 |   5268s
ep  1775 | eps 0.31 | return    66.16 | HO   3.89 | HOF 36.71 | SE  2.28 | loss 0.0259 |   5343s
ep  1800 | eps 0.30 | return    68.51 | HO   3.87 | HOF 36.26 | SE  2.28 | loss 0.0255 |   5418s
ep  1825 | eps 0.29 | return    73.54 | HO   3.91 | HOF 35.46 | SE  2.29 | loss 0.0246 |   5494s
ep  1850 | eps 0.28 | return    75.91 | HO   3.95 | HOF 34.92 | SE  2.29 | loss 0.0243 |   5569s
ep  1875 | eps 0.28 | return    79.27 | HO   3.90 | HOF 34.36 | SE  2.30 | loss 0.0236 |   5644s
ep  1900 | eps 0.27 | return    85.24 | HO   3.94 | HOF 33.48 | SE  2.30 | loss 0.0231 |   5718s
ep  1925 | eps 0.26 | return    87.64 | HO   3.93 | HOF 32.94 | SE  2.31 | loss 0.0225 |   5794s
ep  1950 | eps 0.25 | return    91.61 | HO   4.08 | HOF 32.24 | SE  2.31 | loss 0.0220 |   5869s
ep  1975 | eps 0.24 | return    92.75 | HO   4.10 | HOF 31.84 | SE  2.31 | loss 0.0216 |   5944s
ep  2000 | eps 0.23 | return   100.45 | HO   4.09 | HOF 30.67 | SE  2.32 | loss 0.0211 |   6020s
ep  2025 | eps 0.22 | return   103.97 | HO   4.09 | HOF 30.09 | SE  2.33 | loss 0.0205 |   6095s
ep  2050 | eps 0.22 | return   105.90 | HO   4.11 | HOF 29.58 | SE  2.33 | loss 0.0201 |   6170s
