ep     1 | eps 0.90 | return   -99.87 | HO   2.35 | HOF 65.96 | SE  2.06 | loss nan |      3s
ep   875 | eps 0.61 | return   -30.57 | HO   3.60 | HOF 53.62 | SE  2.15 | loss 0.0443 |   2818s
ep   900 | eps 0.60 | return   -34.39 | HO   3.52 | HOF 54.13 | SE  2.14 | loss 0.0448 |   2898s
ep   925 | eps 0.59 | return   -32.28 | HO   3.35 | HOF 54.14 | SE  2.15 | loss 0.0437 |   2977s
ep   950 | eps 0.58 | return   -31.41 | HO   3.46 | HOF 54.02 | SE  2.15 | loss 0.0419 |   3056s
ep   975 | eps 0.57 | return   -33.71 | HO   3.44 | HOF 54.15 | SE  2.15 | loss 0.0396 |   3135s
ep  1000 | eps 0.57 | return   -35.47 | HO   3.30 | HOF 54.50 | SE  2.14 | loss 0.0377 |   3214s
ep  1025 | eps 0.56 | return   -37.97 | HO   3.21 | HOF 55.00 | SE  2.14 | loss 0.0362 |   3294s
ep  1050 | eps 0.55 | return   -31.85 | HO   3.18 | HOF 54.21 | SE  2.15 | loss 0.0339 |   3373s
ep  1075 | eps 0.54 | return   -31.38 | HO   3.09 | HOF 54.02 | SE  2.15 | loss 0.0329 |   3452s
ep  1100 | eps 0.53 | return   -29.40 | HO   3.19 | HOF 53.53 | SE  2.15 | loss 0.0325 |   3530s
ep  1125 | eps 0.53 | return   -31.76 | HO   3.15 | HOF 53.91 | SE  2.15 | loss 0.0318 |   3610s
ep  1150 | eps 0.52 | return   -28.11 | HO   3.18 | HOF 53.53 | SE  2.16 | loss 0.0315 |   3689s
ep  1175 | eps 0.51 | return   -27.17 | HO   3.08 | HOF 53.37 | SE  2.16 | loss 0.0307 |   3768s
ep  1200 | eps 0.50 | return   -29.44 | HO   3.06 | HOF 53.55 | SE  2.15 | loss 0.0301 |   3848s
ep  1225 | eps 0.49 | return   -24.70 | HO   3.24 | HOF 52.63 | SE  2.16 | loss 0.0295 |   3927s
ep  1250 | eps 0.48 | return   -18.88 | HO   3.25 | HOF 51.78 | SE  2.17 | loss 0.0293 |   4007s
ep  1275 | eps 0.47 | return   -17.81 | HO   3.21 | HOF 51.73 | SE  2.17 | loss 0.0287 |   4087s
ep  1300 | eps 0.47 | return   -19.81 | HO   3.04 | HOF 52.13 | SE  2.17 | loss 0.0279 |   4166s
ep  1325 | eps 0.46 | return   -16.35 | HO   3.18 | HOF 51.27 | SE  2.17 | loss 0.0283 |   4246s
ep  1350 | eps 0.45 | return   -11.83 | HO   3.32 | HOF 50.49 | SE  2.18 | loss 0.0276 |   4325s
ep  1375 | eps 0.44 | return    -9.17 | HO   3.38 | HOF 50.12 | SE  2.18 | loss 0.0268 |   4404s
ep  1400 | eps 0.43 | return    -5.02 | HO   3.32 | HOF 49.55 | SE  2.19 | loss 0.0268 |   4483s
ep  1425 | eps 0.42 | return    -5.85 | HO   3.30 | HOF 49.46 | SE  2.18 | loss 0.0261 |   4562s
ep  1450 | eps 0.42 | return    -2.77 | HO   3.32 | HOF 49.01 | SE  2.19 | loss 0.0259 |   4641s
ep  1475 | eps 0.41 | return     3.69 | HO   3.48 | HOF 47.77 | SE  2.20 | loss 0.0257 |   4720s
ep  1500 | eps 0.40 | return     6.86 | HO   3.53 | HOF 47.17 | SE  2.20 | loss 0.0253 |   4799s
ep  1525 | eps 0.39 | return    10.74 | HO   3.72 | HOF 46.39 | SE  2.21 | loss 0.0249 |   4878s
ep  1550 | eps 0.38 | return    13.55 | HO   3.70 | HOF 45.71 | SE  2.21 | loss 0.0244 |   4957s
ep  1575 | eps 0.38 | return    19.11 | HO   3.80 | HOF 44.68 | SE  2.22 | loss 0.0243 |   5035s
ep  1600 | eps 0.37 | return    22.84 | HO   3.90 | HOF 44.11 | SE  2.22 | loss 0.0238 |   5115s
ep  1625 | eps 0.36 | return    27.38 | HO   3.96 | HOF 43.40 | SE  2.23 | loss 0.0231 |   5194s
ep  1650 | eps 0.35 | return    29.16 | HO   3.93 | HOF 42.58 | SE  2.23 | loss 0.0230 |   5274s
ep  1675 | eps 0.34 | return    30.67 | HO   3.98 | HOF 42.38 | SE  2.23 | loss 0.0224 |   5353s
ep  1700 | eps 0.33 | return    37.43 | HO   4.02 | HOF 41.51 | SE  2.24 | loss 0.0219 |   5432s
ep  1725 | eps 0.32 | return    40.73 | HO   4.04 | HOF 40.62 | SE  2.24 | loss 0.0216 |   5511s
ep  1750 | eps 0.32 | return    43.20 | HO   4.07 | HOF 40.08 | SE  2.25 | loss 0.0211 |   5591s
ep  1775 | eps 0.31 | return    44.15 | HO   4.04 | HOF 39.91 | SE  2.25 | loss 0.0208 |   5670s
ep  1800 | eps 0.30 | return    51.57 | HO   4.07 | HOF 38.74 | SE  2.26 | loss 0.0207 |   5749s
ep  1825 | eps 0.29 | return    56.20 | HO   4.17 | HOF 37.72 | SE  2.26 | loss 0.0201 |   5828s
ep  1850 | eps 0.28 | return    57.15 | HO   4.24 | HOF 37.41 | SE  2.26 | loss 0.0196 |   5907s
ep  1875 | eps 0.28 | return    61.61 | HO   4.24 | HOF 36.58 | SE  2.27 | loss 0.0195 |   5986s
ep  1900 | eps 0.27 | return    64.89 | HO   4.24 | HOF 35.83 | SE  2.27 | loss 0.0189 |   6065s
ep  1925 | eps 0.26 | return    65.46 | HO   4.19 | HOF 35.71 | SE  2.27 | loss 0.0186 |   6144s
ep  1950 | eps 0.25 | return    71.88 | HO   4.26 | HOF 34.49 | SE  2.28 | loss 0.0183 |   6223s
ep  1975 | eps 0.24 | return    73.49 | HO   4.26 | HOF 33.89 | SE  2.28 | loss 0.0179 |   6302s
ep  2000 | eps 0.23 | return    79.83 | HO   4.47 | HOF 32.96 | SE  2.29 | loss 0.0176 |   6382s
ep  2025 | eps 0.22 | return    86.29 | HO   4.30 | HOF 31.96 | SE  2.30 | loss 0.0173 |   6460s
ep  2050 | eps 0.22 | return    88.06 | HO   4.22 | HOF 31.79 | SE  2.30 | loss 0.0169 |   6538s
ep  2075 | eps 0.21 | return    95.01 | HO   4.23 | HOF 30.57 | SE  2.31 | loss 0.0167 |   6616s
ep  2100 | eps 0.20 | return    96.33 | HO   4.39 | HOF 29.74 | SE  2.31 | loss 0.0164 |   6693s
ep  2125 | eps 0.19 | return   104.89 | HO   4.38 | HOF 28.47 | SE  2.32 | loss 0.0157 |   6770s
ep  2150 | eps 0.18 | return   108.28 | HO   4.44 | HOF 27.92 | SE  2.33 | loss 0.0157 |   6847s
ep  2175 | eps 0.17 | return   112.28 | HO   4.47 | HOF 27.17 | SE  2.34 | loss 0.0152 |   6924s
ep  2200 | eps 0.17 | return   116.39 | HO   4.33 | HOF 26.39 | SE  2.34 | loss 0.0147 |   7002s
ep  2225 | eps 0.16 | return   119.60 | HO   4.40 | HOF 25.60 | SE  2.34 | loss 0.0143 |   7079s
ep  2250 | eps 0.15 | return   124.74 | HO   4.36 | HOF 24.69 | SE  2.35 | loss 0.0135 |   7157s
ep  2275 | eps 0.14 | return   126.85 | HO   4.33 | HOF 24.12 | SE  2.35 | loss 0.0132 |   7234s
ep  2300 | eps 0.13 | return   133.42 | HO   4.34 | HOF 22.89 | SE  2.36 | loss 0.0130 |   7312s
ep  2325 | eps 0.12 | return   139.80 | HO   4.53 | HOF 21.65 | SE  2.37 | loss 0.0127 |   7389s
ep  2350 | eps 0.12 | return   145.51 | HO   4.43 | HOF 20.85 | SE  2.38 | loss 0.0120 |   7466s
ep  2375 | eps 0.11 | return   151.32 | HO   4.38 | HOF 19.84 | SE  2.38 | loss 0.0120 |   7545s
ep  2400 | eps 0.10 | return   155.38 | HO   4.60 | HOF 18.74 | SE  2.39 | loss 0.0113 |   7623s
ep  2425 | eps 0.10 | return   158.82 | HO   4.47 | HOF 18.26 | SE  2.39 | loss 0.0110 |   7700s
ep  2450 | eps 0.10 | return   159.84 | HO   4.52 | HOF 18.09 | SE  2.39 | loss 0.0105 |   7777s
ep  2475 | eps 0.10 | return   161.24 | HO   4.47 | HOF 17.89 | SE  2.40 | loss 0.0102 |   7855s
ep  2500 | eps 0.10 | return   160.79 | HO   4.48 | HOF 17.79 | SE  2.40 | loss 0.0100 |   7932s
ep  2525 | eps 0.10 | return   162.23 | HO   4.46 | HOF 17.69 | SE  2.40 | loss 0.0096 |   8010s
ep  2550 | eps 0.10 | return   160.83 | HO   4.42 | HOF 17.93 | SE  2.40 | loss 0.0094 |   8088s
ep  2575 | eps 0.10 | return   159.70 | HO   4.45 | HOF 17.89 | SE  2.39 | loss 0.0093 |   8165s
ep  2600 | eps 0.10 | return   161.87 | HO   4.43 | HOF 17.58 | SE  2.40 | loss 0.0091 |   8243s
ep  2625 | eps 0.10 | return   162.16 | HO   4.44 | HOF 17.55 | SE  2.40 | loss 0.0091 |   8320s
ep  2650 | eps 0.10 | return   161.38 | HO   4.41 | HOF 17.73 | SE  2.40 | loss 0.0092 |   8397s
ep  2675 | eps 0.10 | return   161.37 | HO   4.45 | HOF 17.78 | SE  2.40 | loss 0.0090 |   8475s
ep  2700 | eps 0.10 | return   161.84 | HO   4.36 | HOF 17.58 | SE  2.40 | loss 0.0088 |   8553s
ep  2725 | eps 0.10 | return   161.61 | HO   4.43 | HOF 17.75 | SE  2.40 | loss 0.0088 |   8630s
ep  2750 | eps 0.10 | return   162.30 | HO   4.45 | HOF 17.60 | SE  2.40 | loss 0.0086 |   8708s
ep  2775 | eps 0.10 | return   163.27 | HO   4.41 | HOF 17.62 | SE  2.40 | loss 0.0087 |   8785s
ep  2800 | eps 0.10 | return   161.92 | HO   4.50 | HOF 17.51 | SE  2.40 | loss 0.0085 |   8864s
ep  2825 | eps 0.10 | return   160.23 | HO   4.34 | HOF 17.89 | SE  2.39 | loss 0.0087 |   8942s
ep  2850 | eps 0.10 | return   162.26 | HO   4.37 | HOF 17.68 | SE  2.40 | loss 0.0086 |   9020s
ep  2875 | eps 0.10 | return   162.48 | HO   4.47 | HOF 17.46 | SE  2.40 | loss 0.0086 |   9098s
ep  2900 | eps 0.10 | return   162.77 | HO   4.39 | HOF 17.59 | SE  2.40 | loss 0.0086 |   9176s
ep  2925 | eps 0.10 | return   161.27 | HO   4.42 | HOF 17.56 | SE  2.40 | loss 0.0085 |   9254s
ep  2950 | eps 0.10 | return   159.69 | HO   4.43 | HOF 17.75 | SE  2.39 | loss 0.0083 |   9332s
ep  2975 | eps 0.10 | return   161.87 | HO   4.35 | HOF 17.51 | SE  2.40 | loss 0.0082 |   9410s
ep  3000 | eps 0.10 | return   162.50 | HO   4.43 | HOF 17.35 | SE  2.40 | loss 0.0083 |   9487s
ep  3025 | eps 0.10 | return   161.40 | HO   4.38 | HOF 17.72 | SE  2.40 | loss 0.0082 |   9565s
ep  3050 | eps 0.10 | return   161.59 | HO   4.48 | HOF 17.55 | SE  2.40 | loss 0.0080 |   9643s
ep  3075 | eps 0.10 | return   160.66 | HO   4.40 | HOF 17.79 | SE  2.40 | loss 0.0080 |   9720s
ep  3100 | eps 0.10 | return   161.89 | HO   4.43 | HOF 17.54 | SE  2.40 | loss 0.0081 |   9798s
ep  3125 | eps 0.10 | return   161.52 | HO   4.39 | HOF 17.62 | SE  2.40 | loss 0.0080 |   9876s
ep  3150 | eps 0.10 | return   159.98 | HO   4.42 | HOF 17.68 | SE  2.39 | loss 0.0080 |   9953s
ep  3175 | eps 0.10 | return   162.84 | HO   4.35 | HOF 17.58 | SE  2.40 | loss 0.0079 |  10031s
ep  3200 | eps 0.10 | return   162.37 | HO   4.40 | HOF 17.44 | SE  2.40 | loss 0.0080 |  10109s
ep  3225 | eps 0.10 | return   161.30 | HO   4.27 | HOF 17.66 | SE  2.40 | loss 0.0080 |  10186s
ep  3250 | eps 0.10 | return   161.05 | HO   4.41 | HOF 17.62 | SE  2.40 | loss 0.0082 |  10265s
ep  3275 | eps 0.10 | return   159.25 | HO   4.43 | HOF 17.66 | SE  2.39 | loss 0.0080 |  10344s
ep  3300 | eps 0.10 | return   161.16 | HO   4.42 | HOF 17.61 | SE  2.40 | loss 0.0078 |  10422s
ep  3325 | eps 0.10 | return   159.67 | HO   4.47 | HOF 17.66 | SE  2.39 | loss 0.0079 |  10501s
ep  3350 | eps 0.10 | return   160.26 | HO   4.32 | HOF 17.76 | SE  2.39 | loss 0.0080 |  10578s
ep  3375 | eps 0.10 | return   161.11 | HO   4.35 | HOF 17.66 | SE  2.40 | loss 0.0083 |  10656s
ep  3400 | eps 0.10 | return   161.90 | HO   4.38 | HOF 17.51 | SE  2.40 | loss 0.0078 |  10734s
ep  3425 | eps 0.10 | return   162.05 | HO   4.48 | HOF 17.46 | SE  2.40 | loss 0.0077 |  10813s
ep  3450 | eps 0.10 | return   160.23 | HO   4.43 | HOF 17.57 | SE  2.39 | loss 0.0077 |  10891s
ep  3475 | eps 0.10 | return   162.51 | HO   4.36 | HOF 17.62 | SE  2.40 | loss 0.0075 |  10969s
ep  3500 | eps 0.10 | return   161.79 | HO   4.38 | HOF 17.65 | SE  2.40 | loss 0.0077 |  11046s
ep  3525 | eps 0.10 | return   161.32 | HO   4.26 | HOF 17.82 | SE  2.40 | loss 0.0078 |  11124s
ep  3550 | eps 0.10 | return   162.82 | HO   4.32 | HOF 17.66 | SE  2.40 | loss 0.0078 |  11203s
ep  3575 | eps 0.10 | return   161.73 | HO   4.35 | HOF 17.71 | SE  2.40 | loss 0.0079 |  11281s
ep  3600 | eps 0.10 | return   159.96 | HO   4.34 | HOF 17.71 | SE  2.39 | loss 0.0079 |  11358s
ep  3625 | eps 0.10 | return   163.35 | HO   4.28 | HOF 17.59 | SE  2.40 | loss 0.0077 |  11436s
ep  3650 | eps 0.10 | return   161.58 | HO   4.43 | HOF 17.59 | SE  2.40 | loss 0.0077 |  11514s
ep  3675 | eps 0.10 | return   160.97 | HO   4.35 | HOF 17.72 | SE  2.40 | loss 0.0078 |  11593s
ep  3700 | eps 0.10 | return   161.12 | HO   4.32 | HOF 17.58 | SE  2.40 | loss 0.0079 |  11671s
ep  3725 | eps 0.10 | return   160.65 | HO   4.38 | HOF 17.65 | SE  2.39 | loss 0.0076 |  11749s
ep  3750 | eps 0.10 | return   162.05 | HO   4.35 | HOF 17.59 | SE  2.40 | loss 0.0076 |  11827s
ep  3775 | eps 0.10 | return   161.88 | HO   4.25 | HOF 17.73 | SE  2.40 | loss 0.0076 |  11905s
ep  3800 | eps 0.10 | return   160.78 | HO   4.43 | HOF 17.64 | SE  2.39 | loss 0.0074 |  11983s
ep  3825 | eps 0.10 | return   161.45 | HO   4.34 | HOF 17.56 | SE  2.40 | loss 0.0075 |  12061s
ep  3850 | eps 0.10 | return   161.91 | HO   4.27 | HOF 17.66 | SE  2.40 | loss 0.0075 |  12139s
ep  3875 | eps 0.10 | return   162.46 | HO   4.34 | HOF 17.52 | SE  2.40 | loss 0.0075 |  12218s
ep  3900 | eps 0.10 | return   160.48 | HO   4.36 | HOF 17.67 | SE  2.40 | loss 0.0077 |  12295s
ep  3925 | eps 0.10 | return   160.84 | HO   4.35 | HOF 17.71 | SE  2.40 | loss 0.0081 |  12373s
ep  3950 | eps 0.10 | return   159.48 | HO   4.37 | HOF 17.85 | SE  2.39 | loss 0.0076 |  12451s
ep  3975 | eps 0.10 | return   161.96 | HO   4.27 | HOF 17.61 | SE  2.40 | loss 0.0077 |  12529s
ep  4000 | eps 0.10 | return   162.05 | HO   4.31 | HOF 17.61 | SE  2.40 | loss 0.0076 |  12607s
