ep     1 | eps 0.90 | return   196.54 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep  2025 | eps 0.10 | return   489.83 | HO   4.38 | HOF 17.31 | SE  2.40 | loss 0.0192 |   6475s
ep  2050 | eps 0.10 | return   488.30 | HO   4.51 | HOF 17.36 | SE  2.39 | loss 0.0190 |   6555s
ep  2075 | eps 0.10 | return   488.31 | HO   4.36 | HOF 17.47 | SE  2.40 | loss 0.0189 |   6635s
ep  2100 | eps 0.10 | return   489.25 | HO   4.38 | HOF 17.35 | SE  2.40 | loss 0.0188 |   6715s
ep  2125 | eps 0.10 | return   489.90 | HO   4.42 | HOF 17.17 | SE  2.40 | loss 0.0186 |   6795s
ep  2150 | eps 0.10 | return   489.20 | HO   4.53 | HOF 17.31 | SE  2.40 | loss 0.0189 |   6875s
ep  2175 | eps 0.10 | return   489.45 | HO   4.42 | HOF 17.21 | SE  2.40 | loss 0.0186 |   6955s
ep  2200 | eps 0.10 | return   487.42 | HO   4.42 | HOF 17.42 | SE  2.39 | loss 0.0186 |   7035s
ep  2225 | eps 0.10 | return   488.27 | HO   4.53 | HOF 17.31 | SE  2.39 | loss 0.0186 |   7114s
ep  2250 | eps 0.10 | return   488.53 | HO   4.47 | HOF 17.32 | SE  2.40 | loss 0.0187 |   7195s
ep  2275 | eps 0.10 | return   489.11 | HO   4.44 | HOF 17.23 | SE  2.40 | loss 0.0186 |   7274s
ep  2300 | eps 0.10 | return   488.47 | HO   4.40 | HOF 17.50 | SE  2.40 | loss 0.0188 |   7354s
ep  2325 | eps 0.10 | return   487.97 | HO   4.47 | HOF 17.37 | SE  2.40 | loss 0.0188 |   7435s
ep  2350 | eps 0.10 | return   486.94 | HO   4.53 | HOF 17.38 | SE  2.40 | loss 0.0188 |   7514s
ep  2375 | eps 0.10 | return   486.33 | HO   4.55 | HOF 17.42 | SE  2.39 | loss 0.0188 |   7595s
ep  2400 | eps 0.10 | return   489.15 | HO   4.53 | HOF 17.18 | SE  2.40 | loss 0.0187 |   7675s
ep  2425 | eps 0.10 | return   488.18 | HO   4.46 | HOF 17.32 | SE  2.40 | loss 0.0188 |   7754s
ep  2450 | eps 0.10 | return   488.58 | HO   4.42 | HOF 17.33 | SE  2.40 | loss 0.0185 |   7834s
ep  2475 | eps 0.10 | return   488.41 | HO   4.41 | HOF 17.21 | SE  2.40 | loss 0.0183 |   7914s
ep  2500 | eps 0.10 | return   487.56 | HO   4.44 | HOF 17.46 | SE  2.40 | loss 0.0184 |   7994s
ep  2525 | eps 0.10 | return   488.13 | HO   4.50 | HOF 17.27 | SE  2.40 | loss 0.0182 |   8074s
ep  2550 | eps 0.10 | return   488.20 | HO   4.47 | HOF 17.23 | SE  2.40 | loss 0.0184 |   8154s
ep  2575 | eps 0.10 | return   488.16 | HO   4.56 | HOF 17.36 | SE  2.40 | loss 0.0183 |   8234s
ep  2600 | eps 0.10 | return   488.36 | HO   4.38 | HOF 17.27 | SE  2.40 | loss 0.0186 |   8314s
ep  2625 | eps 0.10 | return   488.11 | HO   4.44 | HOF 17.50 | SE  2.40 | loss 0.0187 |   8394s
ep  2650 | eps 0.10 | return   488.27 | HO   4.43 | HOF 17.51 | SE  2.40 | loss 0.0188 |   8473s
ep  2675 | eps 0.10 | return   488.34 | HO   4.51 | HOF 17.16 | SE  2.40 | loss 0.0188 |   8553s
ep  2700 | eps 0.10 | return   489.56 | HO   4.56 | HOF 17.09 | SE  2.40 | loss 0.0190 |   8633s
ep  2725 | eps 0.10 | return   488.19 | HO   4.58 | HOF 17.18 | SE  2.40 | loss 0.0189 |   8713s
ep  2750 | eps 0.10 | return   488.48 | HO   4.43 | HOF 17.39 | SE  2.40 | loss 0.0189 |   8793s
ep  2775 | eps 0.10 | return   488.02 | HO   4.63 | HOF 17.22 | SE  2.40 | loss 0.0191 |   8873s
ep  2800 | eps 0.10 | return   489.44 | HO   4.53 | HOF 17.09 | SE  2.40 | loss 0.0188 |   8953s
ep  2825 | eps 0.10 | return   490.17 | HO   4.48 | HOF 17.10 | SE  2.40 | loss 0.0188 |   9033s
ep  2850 | eps 0.10 | return   487.27 | HO   4.51 | HOF 17.23 | SE  2.39 | loss 0.0190 |   9113s
ep  2875 | eps 0.10 | return   487.41 | HO   4.55 | HOF 17.31 | SE  2.39 | loss 0.0190 |   9193s
ep  2900 | eps 0.10 | return   488.09 | HO   4.50 | HOF 17.34 | SE  2.40 | loss 0.0189 |   9272s
ep  2925 | eps 0.10 | return   488.83 | HO   4.51 | HOF 17.28 | SE  2.40 | loss 0.0190 |   9353s
ep  2950 | eps 0.10 | return   487.97 | HO   4.53 | HOF 17.26 | SE  2.40 | loss 0.0191 |   9434s
ep  2975 | eps 0.10 | return   489.82 | HO   4.55 | HOF 17.00 | SE  2.40 | loss 0.0192 |   9514s
ep  3000 | eps 0.10 | return   489.72 | HO   4.40 | HOF 17.20 | SE  2.40 | loss 0.0191 |   9594s
