ep     1 | eps 0.90 | return   -93.93 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep  2525 | eps 0.10 | return   163.61 | HO   4.16 | HOF 18.21 | SE  2.40 | loss 0.0173 |   7930s
ep  2550 | eps 0.10 | return   162.92 | HO   4.30 | HOF 18.01 | SE  2.40 | loss 0.0176 |   8008s
ep  2575 | eps 0.10 | return   162.49 | HO   4.30 | HOF 18.19 | SE  2.40 | loss 0.0172 |   8086s
ep  2600 | eps 0.10 | return   163.69 | HO   4.27 | HOF 17.96 | SE  2.40 | loss 0.0172 |   8164s
ep  2625 | eps 0.10 | return   161.67 | HO   4.17 | HOF 18.28 | SE  2.40 | loss 0.0170 |   8243s
ep  2650 | eps 0.10 | return   163.18 | HO   4.32 | HOF 18.10 | SE  2.40 | loss 0.0170 |   8321s
ep  2675 | eps 0.10 | return   164.43 | HO   4.34 | HOF 17.79 | SE  2.40 | loss 0.0168 |   8400s
ep  2700 | eps 0.10 | return   163.90 | HO   4.31 | HOF 17.80 | SE  2.40 | loss 0.0170 |   8478s
ep  2725 | eps 0.10 | return   163.83 | HO   4.33 | HOF 17.82 | SE  2.40 | loss 0.0166 |   8557s
ep  2750 | eps 0.10 | return   164.05 | HO   4.25 | HOF 17.82 | SE  2.40 | loss 0.0163 |   8635s
ep  2775 | eps 0.10 | return   165.28 | HO   4.45 | HOF 17.66 | SE  2.41 | loss 0.0164 |   8714s
ep  2800 | eps 0.10 | return   166.56 | HO   4.30 | HOF 17.63 | SE  2.41 | loss 0.0161 |   8792s
ep  2825 | eps 0.10 | return   165.56 | HO   4.25 | HOF 17.68 | SE  2.40 | loss 0.0161 |   8871s
ep  2850 | eps 0.10 | return   163.25 | HO   4.25 | HOF 17.94 | SE  2.40 | loss 0.0159 |   8949s
ep  2875 | eps 0.10 | return   163.26 | HO   4.31 | HOF 17.87 | SE  2.40 | loss 0.0160 |   9028s
ep  2900 | eps 0.10 | return   163.25 | HO   4.37 | HOF 17.82 | SE  2.40 | loss 0.0157 |   9107s
ep  2925 | eps 0.10 | return   163.75 | HO   4.24 | HOF 17.87 | SE  2.40 | loss 0.0154 |   9185s
ep  2950 | eps 0.10 | return   164.16 | HO   4.26 | HOF 17.80 | SE  2.40 | loss 0.0154 |   9263s
ep  2975 | eps 0.10 | return   166.76 | HO   4.47 | HOF 17.39 | SE  2.41 | loss 0.0152 |   9342s
ep  3000 | eps 0.10 | return   165.64 | HO   4.25 | HOF 17.63 | SE  2.41 | loss 0.0150 |   9420s
ep  3025 | eps 0.10 | return   166.05 | HO   4.23 | HOF 17.66 | SE  2.41 | loss 0.0155 |   9498s
ep  3050 | eps 0.10 | return   164.86 | HO   4.25 | HOF 17.68 | SE  2.40 | loss 0.0150 |   9577s
ep  3075 | eps 0.10 | return   166.01 | HO   4.31 | HOF 17.45 | SE  2.41 | loss 0.0149 |   9656s
ep  3100 | eps 0.10 | return   164.87 | HO   4.31 | HOF 17.68 | SE  2.40 | loss 0.0148 |   9734s
ep  3125 | eps 0.10 | return   164.37 | HO   4.35 | HOF 17.58 | SE  2.40 | loss 0.0148 |   9812s
ep  3150 | eps 0.10 | return   165.56 | HO   4.21 | HOF 17.65 | SE  2.40 | loss 0.0146 |   9891s
ep  3175 | eps 0.10 | return   164.79 | HO   4.28 | HOF 17.52 | SE  2.40 | loss 0.0143 |   9970s
ep  3200 | eps 0.10 | return   166.41 | HO   4.26 | HOF 17.62 | SE  2.41 | loss 0.0140 |  10048s
ep  3225 | eps 0.10 | return   164.69 | HO   4.36 | HOF 17.55 | SE  2.40 | loss 0.0140 |  10127s
ep  3250 | eps 0.10 | return   163.38 | HO   4.33 | HOF 17.81 | SE  2.40 | loss 0.0142 |  10205s
ep  3275 | eps 0.10 | return   162.95 | HO   4.28 | HOF 17.74 | SE  2.40 | loss 0.0140 |  10283s
ep  3300 | eps 0.10 | return   163.69 | HO   4.28 | HOF 17.61 | SE  2.40 | loss 0.0136 |  10362s
ep  3325 | eps 0.10 | return   166.33 | HO   4.27 | HOF 17.40 | SE  2.40 | loss 0.0134 |  10441s
ep  3350 | eps 0.10 | return   165.67 | HO   4.37 | HOF 17.32 | SE  2.40 | loss 0.0130 |  10519s
ep  3375 | eps 0.10 | return   164.45 | HO   4.48 | HOF 17.35 | SE  2.40 | loss 0.0137 |  10599s
ep  3400 | eps 0.10 | return   164.04 | HO   4.36 | HOF 17.63 | SE  2.40 | loss 0.0131 |  10677s
ep  3425 | eps 0.10 | return   164.43 | HO   4.28 | HOF 17.66 | SE  2.40 | loss 0.0134 |  10756s
ep  3450 | eps 0.10 | return   166.71 | HO   4.34 | HOF 17.29 | SE  2.41 | loss 0.0130 |  10834s
ep  3475 | eps 0.10 | return   164.92 | HO   4.43 | HOF 17.46 | SE  2.40 | loss 0.0131 |  10913s
ep  3500 | eps 0.10 | return   164.77 | HO   4.30 | HOF 17.60 | SE  2.40 | loss 0.0130 |  10993s
ep  3525 | eps 0.10 | return   166.01 | HO   4.33 | HOF 17.34 | SE  2.40 | loss 0.0129 |  11072s
ep  3550 | eps 0.10 | return   165.51 | HO   4.40 | HOF 17.20 | SE  2.40 | loss 0.0127 |  11152s
ep  3575 | eps 0.10 | return   166.39 | HO   4.33 | HOF 17.29 | SE  2.40 | loss 0.0129 |  11230s
ep  3600 | eps 0.10 | return   166.79 | HO   4.33 | HOF 17.26 | SE  2.40 | loss 0.0126 |  11309s
ep  3625 | eps 0.10 | return   165.51 | HO   4.40 | HOF 17.43 | SE  2.40 | loss 0.0125 |  11388s
ep  3650 | eps 0.10 | return   166.90 | HO   4.37 | HOF 17.20 | SE  2.41 | loss 0.0124 |  11466s
ep  3675 | eps 0.10 | return   166.75 | HO   4.38 | HOF 17.19 | SE  2.41 | loss 0.0125 |  11544s
ep  3700 | eps 0.10 | return   164.66 | HO   4.40 | HOF 17.38 | SE  2.40 | loss 0.0121 |  11624s
ep  3725 | eps 0.10 | return   165.26 | HO   4.41 | HOF 17.38 | SE  2.40 | loss 0.0122 |  11703s
ep  3750 | eps 0.10 | return   167.04 | HO   4.29 | HOF 17.30 | SE  2.40 | loss 0.0120 |  11782s
