ep     1 | eps 0.90 | return   186.27 | HO   2.35 | HOF 65.96 | SE  2.06 | loss nan |      3s
ep   525 | eps 0.67 | return   238.86 | HO   3.18 | HOF 57.81 | SE  2.12 | loss 0.0852 |   1668s
ep   550 | eps 0.66 | return   237.15 | HO   2.98 | HOF 58.03 | SE  2.12 | loss 0.0909 |   1747s
ep   575 | eps 0.64 | return   231.97 | HO   2.84 | HOF 58.82 | SE  2.12 | loss 0.0801 |   1827s
ep   600 | eps 0.63 | return   226.27 | HO   2.62 | HOF 59.95 | SE  2.11 | loss 0.0804 |   1907s
ep   625 | eps 0.62 | return   230.32 | HO   2.68 | HOF 59.31 | SE  2.12 | loss 0.0812 |   1986s
ep   650 | eps 0.61 | return   238.04 | HO   2.89 | HOF 57.92 | SE  2.12 | loss 0.0758 |   2066s
ep   675 | eps 0.60 | return   242.54 | HO   3.05 | HOF 57.08 | SE  2.13 | loss 0.0672 |   2146s
ep   700 | eps 0.59 | return   241.78 | HO   2.98 | HOF 57.32 | SE  2.13 | loss 0.0663 |   2225s
ep   725 | eps 0.58 | return   241.29 | HO   2.80 | HOF 57.41 | SE  2.13 | loss 0.0631 |   2305s
ep   750 | eps 0.57 | return   256.48 | HO   3.15 | HOF 55.08 | SE  2.14 | loss 0.0662 |   2385s
ep   775 | eps 0.56 | return   248.80 | HO   2.83 | HOF 56.40 | SE  2.14 | loss 0.0551 |   2465s
ep   800 | eps 0.54 | return   245.19 | HO   2.76 | HOF 56.86 | SE  2.13 | loss 0.0515 |   2544s
ep   825 | eps 0.53 | return   255.77 | HO   2.96 | HOF 55.15 | SE  2.15 | loss 0.0513 |   2623s
ep   850 | eps 0.52 | return   256.52 | HO   2.96 | HOF 54.95 | SE  2.14 | loss 0.0507 |   2703s
ep   875 | eps 0.51 | return   271.93 | HO   3.34 | HOF 52.46 | SE  2.16 | loss 0.0519 |   2783s
ep   900 | eps 0.50 | return   265.49 | HO   3.08 | HOF 53.49 | SE  2.15 | loss 0.0467 |   2862s
ep   925 | eps 0.49 | return   270.71 | HO   3.04 | HOF 52.77 | SE  2.16 | loss 0.0453 |   2942s
ep   950 | eps 0.48 | return   269.53 | HO   3.05 | HOF 52.94 | SE  2.16 | loss 0.0415 |   3021s
ep   975 | eps 0.47 | return   278.45 | HO   3.13 | HOF 51.47 | SE  2.17 | loss 0.0412 |   3101s
ep  1000 | eps 0.46 | return   276.53 | HO   3.07 | HOF 51.67 | SE  2.17 | loss 0.0394 |   3180s
ep  1025 | eps 0.44 | return   278.76 | HO   3.13 | HOF 51.44 | SE  2.17 | loss 0.0393 |   3259s
ep  1050 | eps 0.43 | return   286.51 | HO   3.20 | HOF 50.15 | SE  2.18 | loss 0.0376 |   3339s
ep  1075 | eps 0.42 | return   291.23 | HO   3.23 | HOF 49.37 | SE  2.18 | loss 0.0361 |   3419s
ep  1100 | eps 0.41 | return   295.77 | HO   3.31 | HOF 48.42 | SE  2.19 | loss 0.0351 |   3498s
ep  1125 | eps 0.40 | return   289.59 | HO   3.17 | HOF 49.58 | SE  2.18 | loss 0.0350 |   3578s
ep  1150 | eps 0.39 | return   317.74 | HO   3.80 | HOF 45.07 | SE  2.22 | loss 0.0418 |   3657s
ep  1175 | eps 0.38 | return   312.21 | HO   3.52 | HOF 45.94 | SE  2.21 | loss 0.0348 |   3737s
ep  1200 | eps 0.37 | return   308.43 | HO   3.45 | HOF 46.55 | SE  2.20 | loss 0.0341 |   3816s
ep  1225 | eps 0.36 | return   328.31 | HO   3.94 | HOF 43.27 | SE  2.23 | loss 0.0373 |   3896s
ep  1250 | eps 0.34 | return   327.50 | HO   3.78 | HOF 43.47 | SE  2.22 | loss 0.0323 |   3976s
ep  1275 | eps 0.33 | return   334.87 | HO   3.92 | HOF 42.29 | SE  2.23 | loss 0.0323 |   4055s
ep  1300 | eps 0.32 | return   332.90 | HO   3.78 | HOF 42.72 | SE  2.23 | loss 0.0302 |   4136s
ep  1325 | eps 0.31 | return   340.23 | HO   3.90 | HOF 41.55 | SE  2.24 | loss 0.0290 |   4215s
ep  1350 | eps 0.30 | return   345.03 | HO   3.99 | HOF 40.58 | SE  2.24 | loss 0.0276 |   4295s
ep  1375 | eps 0.29 | return   349.36 | HO   4.15 | HOF 39.72 | SE  2.25 | loss 0.0262 |   4375s
ep  1400 | eps 0.28 | return   353.59 | HO   3.95 | HOF 39.28 | SE  2.25 | loss 0.0260 |   4454s
ep  1425 | eps 0.27 | return   361.42 | HO   3.99 | HOF 38.08 | SE  2.26 | loss 0.0242 |   4534s
ep  1450 | eps 0.26 | return   364.30 | HO   4.01 | HOF 37.59 | SE  2.26 | loss 0.0239 |   4614s
ep  1475 | eps 0.24 | return   371.72 | HO   4.00 | HOF 36.40 | SE  2.27 | loss 0.0231 |   4694s
ep  1500 | eps 0.23 | return   378.64 | HO   4.13 | HOF 35.29 | SE  2.28 | loss 0.0225 |   4774s
ep  1525 | eps 0.22 | return   383.61 | HO   4.20 | HOF 34.29 | SE  2.28 | loss 0.0218 |   4854s
ep  1550 | eps 0.21 | return   394.57 | HO   4.16 | HOF 32.58 | SE  2.30 | loss 0.0208 |   4933s
ep  1575 | eps 0.20 | return   400.35 | HO   4.24 | HOF 31.52 | SE  2.30 | loss 0.0203 |   5013s
ep  1600 | eps 0.19 | return   408.66 | HO   4.42 | HOF 30.04 | SE  2.31 | loss 0.0197 |   5092s
ep  1625 | eps 0.18 | return   416.40 | HO   4.36 | HOF 28.90 | SE  2.32 | loss 0.0190 |   5172s
ep  1650 | eps 0.17 | return   425.12 | HO   4.34 | HOF 27.52 | SE  2.33 | loss 0.0183 |   5251s
ep  1675 | eps 0.16 | return   432.10 | HO   4.51 | HOF 26.32 | SE  2.34 | loss 0.0175 |   5332s
ep  1700 | eps 0.14 | return   441.24 | HO   4.56 | HOF 24.88 | SE  2.35 | loss 0.0165 |   5411s
ep  1725 | eps 0.13 | return   448.39 | HO   4.47 | HOF 23.59 | SE  2.35 | loss 0.0161 |   5491s
ep  1750 | eps 0.12 | return   456.62 | HO   4.55 | HOF 22.29 | SE  2.36 | loss 0.0152 |   5570s
ep  1775 | eps 0.11 | return   464.27 | HO   4.53 | HOF 21.26 | SE  2.37 | loss 0.0146 |   5650s
ep  1800 | eps 0.10 | return   472.86 | HO   4.59 | HOF 19.49 | SE  2.38 | loss 0.0142 |   5729s
ep  1825 | eps 0.10 | return   480.28 | HO   4.55 | HOF 18.48 | SE  2.39 | loss 0.0132 |   5809s
ep  1850 | eps 0.10 | return   478.75 | HO   4.57 | HOF 18.62 | SE  2.39 | loss 0.0122 |   5888s
ep  1875 | eps 0.10 | return   479.90 | HO   4.58 | HOF 18.40 | SE  2.39 | loss 0.0120 |   5968s
ep  1900 | eps 0.10 | return   480.51 | HO   4.49 | HOF 18.23 | SE  2.39 | loss 0.0114 |   6048s
ep  1925 | eps 0.10 | return   480.01 | HO   4.51 | HOF 18.51 | SE  2.38 | loss 0.0110 |   6127s
ep  1950 | eps 0.10 | return   480.38 | HO   4.51 | HOF 18.34 | SE  2.39 | loss 0.0106 |   6207s
ep  1975 | eps 0.10 | return   481.19 | HO   4.57 | HOF 18.07 | SE  2.38 | loss 0.0104 |   6286s
ep  2000 | eps 0.10 | return   481.86 | HO   4.66 | HOF 17.96 | SE  2.39 | loss 0.0102 |   6365s
ep  2025 | eps 0.10 | return   482.73 | HO   4.45 | HOF 17.97 | SE  2.39 | loss 0.0101 |   6445s
ep  2050 | eps 0.10 | return   482.30 | HO   4.45 | HOF 18.33 | SE  2.39 | loss 0.0099 |   6524s
ep  2075 | eps 0.10 | return   483.82 | HO   4.33 | HOF 17.93 | SE  2.39 | loss 0.0099 |   6604s
ep  2100 | eps 0.10 | return   480.62 | HO   4.48 | HOF 18.18 | SE  2.39 | loss 0.0099 |   6683s
ep  2125 | eps 0.10 | return   483.32 | HO   4.43 | HOF 17.74 | SE  2.39 | loss 0.0096 |   6763s
ep  2150 | eps 0.10 | return   483.13 | HO   4.36 | HOF 17.96 | SE  2.39 | loss 0.0099 |   6842s
ep  2175 | eps 0.10 | return   483.28 | HO   4.43 | HOF 17.83 | SE  2.39 | loss 0.0096 |   6922s
ep  2200 | eps 0.10 | return   484.13 | HO   4.31 | HOF 17.89 | SE  2.39 | loss 0.0095 |   7001s
ep  2225 | eps 0.10 | return   483.09 | HO   4.41 | HOF 18.02 | SE  2.39 | loss 0.0094 |   7080s
ep  2250 | eps 0.10 | return   483.79 | HO   4.34 | HOF 17.88 | SE  2.39 | loss 0.0091 |   7160s
ep  2275 | eps 0.10 | return   482.84 | HO   4.30 | HOF 18.11 | SE  2.39 | loss 0.0091 |   7239s
ep  2300 | eps 0.10 | return   484.52 | HO   4.31 | HOF 17.85 | SE  2.39 | loss 0.0090 |   7319s
ep  2325 | eps 0.10 | return   483.55 | HO   4.39 | HOF 17.70 | SE  2.39 | loss 0.0090 |   7398s
ep  2350 | eps 0.10 | return   484.44 | HO   4.44 | HOF 17.63 | SE  2.39 | loss 0.0088 |   7478s
ep  2375 | eps 0.10 | return   485.43 | HO   4.25 | HOF 17.79 | SE  2.40 | loss 0.0090 |   7558s
ep  2400 | eps 0.10 | return   483.58 | HO   4.50 | HOF 17.71 | SE  2.39 | loss 0.0087 |   7637s
ep  2425 | eps 0.10 | return   484.24 | HO   4.40 | HOF 17.79 | SE  2.39 | loss 0.0090 |   7716s
ep  2450 | eps 0.10 | return   485.13 | HO   4.43 | HOF 17.61 | SE  2.39 | loss 0.0087 |   7796s
ep  2475 | eps 0.10 | return   485.22 | HO   4.37 | HOF 17.69 | SE  2.39 | loss 0.0086 |   7875s
ep  2500 | eps 0.10 | return   483.98 | HO   4.31 | HOF 17.67 | SE  2.39 | loss 0.0088 |   7955s
ep  2525 | eps 0.10 | return   485.15 | HO   4.38 | HOF 17.53 | SE  2.40 | loss 0.0085 |   8034s
ep  2550 | eps 0.10 | return   484.74 | HO   4.32 | HOF 17.80 | SE  2.39 | loss 0.0086 |   8114s
ep  2575 | eps 0.10 | return   483.92 | HO   4.46 | HOF 17.82 | SE  2.39 | loss 0.0087 |   8193s
ep  2600 | eps 0.10 | return   484.33 | HO   4.28 | HOF 17.72 | SE  2.39 | loss 0.0086 |   8273s
ep  2625 | eps 0.10 | return   485.06 | HO   4.28 | HOF 17.74 | SE  2.39 | loss 0.0087 |   8352s
ep  2650 | eps 0.10 | return   483.54 | HO   4.29 | HOF 17.86 | SE  2.39 | loss 0.0086 |   8432s
ep  2675 | eps 0.10 | return   484.54 | HO   4.24 | HOF 17.84 | SE  2.39 | loss 0.0085 |   8511s
ep  2700 | eps 0.10 | return   484.32 | HO   4.31 | HOF 17.63 | SE  2.39 | loss 0.0084 |   8591s
ep  2725 | eps 0.10 | return   484.51 | HO   4.33 | HOF 17.75 | SE  2.39 | loss 0.0085 |   8673s
ep  2750 | eps 0.10 | return   484.24 | HO   4.32 | HOF 17.76 | SE  2.39 | loss 0.0083 |   8752s
ep  2775 | eps 0.10 | return   485.04 | HO   4.29 | HOF 17.75 | SE  2.40 | loss 0.0085 |   8832s
ep  2800 | eps 0.10 | return   483.95 | HO   4.37 | HOF 17.61 | SE  2.39 | loss 0.0083 |   8911s
ep  2825 | eps 0.10 | return   484.88 | HO   4.28 | HOF 17.81 | SE  2.39 | loss 0.0084 |   8991s
ep  2850 | eps 0.10 | return   484.73 | HO   4.25 | HOF 17.90 | SE  2.39 | loss 0.0085 |   9070s
ep  2875 | eps 0.10 | return   484.74 | HO   4.26 | HOF 17.65 | SE  2.39 | loss 0.0088 |   9150s
ep  2900 | eps 0.10 | return   484.23 | HO   4.20 | HOF 17.73 | SE  2.39 | loss 0.0084 |   9229s
ep  2925 | eps 0.10 | return   484.82 | HO   4.22 | HOF 17.65 | SE  2.39 | loss 0.0082 |   9309s
ep  2950 | eps 0.10 | return   483.33 | HO   4.29 | HOF 17.78 | SE  2.39 | loss 0.0082 |   9389s
ep  2975 | eps 0.10 | return   485.34 | HO   4.27 | HOF 17.49 | SE  2.39 | loss 0.0083 |   9468s
ep  3000 | eps 0.10 | return   485.71 | HO   4.23 | HOF 17.49 | SE  2.40 | loss 0.0082 |   9548s
